"","X","total_accel_belt","var_total_accel_belt","accel_belt_x","accel_belt_y","accel_belt_z","total_accel_arm","var_accel_arm","accel_arm_x","accel_arm_y","accel_arm_z","total_accel_dumbbell","var_accel_dumbbell","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","total_accel_forearm","var_accel_forearm","accel_forearm_x","accel_forearm_y","accel_forearm_z","classe"
"183",183,20,NA,-44,68,-183,25,NA,-216,-73,-88,10,NA,22,-41,88,34,NA,158,227,-183,"A"
"184",184,21,NA,-46,69,-184,25,NA,-215,-73,-88,11,NA,24,-38,93,34,NA,152,227,-186,"A"
"185",185,20,NA,-45,69,-183,25,NA,-215,-74,-91,11,NA,17,-44,100,34,NA,156,232,-185,"A"
"186",186,21,NA,-44,68,-184,25,NA,-215,-73,-89,12,NA,15,-54,101,34,NA,153,230,-188,"A"
"187",187,21,NA,-45,70,-186,25,NA,-219,-77,-87,12,NA,20,-48,102,34,NA,146,227,-190,"A"
"188",188,21,NA,-46,69,-187,25,NA,-217,-79,-87,10,NA,7,-45,85,35,NA,156,235,-198,"A"
"189",189,21,NA,-43,69,-184,25,NA,-218,-79,-88,10,NA,9,-37,86,34,NA,149,230,-196,"A"
"190",190,21,NA,-44,71,-183,25,NA,-216,-80,-88,9,NA,13,-29,84,34,NA,150,229,-197,"A"
"191",191,21,NA,-45,69,-185,25,NA,-217,-77,-87,9,NA,19,-25,86,35,NA,154,229,-197,"A"
"192",192,21,NA,-47,69,-187,25,NA,-215,-77,-87,9,NA,19,-22,86,34,NA,155,229,-194,"A"
"193",193,21,NA,-47,69,-185,25,NA,-216,-77,-88,10,NA,15,-32,87,34,NA,152,229,-192,"A"
"194",194,21,NA,-44,69,-184,25,NA,-215,-77,-85,10,NA,14,-34,86,35,NA,154,231,-194,"A"
"195",195,21,NA,-44,69,-185,25,NA,-217,-78,-86,10,NA,10,-35,88,35,NA,158,233,-193,"A"
"196",196,21,NA,-46,69,-183,25,NA,-215,-77,-88,9,NA,1,-29,86,34,NA,152,229,-191,"A"
"197",197,21,NA,-45,70,-183,25,NA,-219,-76,-85,9,NA,4,-24,86,34,NA,148,232,-191,"A"
"198",198,21,NA,-46,69,-183,25,NA,-217,-78,-84,10,NA,7,-33,87,34,NA,155,233,-188,"A"
"199",199,21,NA,-49,70,-182,25,NA,-212,-76,-89,11,NA,18,-50,96,35,NA,154,238,-189,"A"
"200",200,21,NA,-48,69,-185,25,NA,-214,-74,-88,11,NA,23,-43,98,35,NA,156,237,-188,"A"
"201",201,21,NA,-44,68,-187,25,NA,-216,-75,-90,11,NA,19,-34,100,34,NA,153,229,-186,"A"
"202",202,21,NA,-47,68,-187,25,NA,-219,-74,-88,11,NA,15,-35,99,34,NA,160,227,-188,"A"
"203",203,21,NA,-43,68,-186,25,NA,-217,-74,-89,10,NA,13,-38,94,34,NA,148,227,-187,"A"
"204",204,21,NA,-45,70,-186,25,NA,-215,-77,-90,10,NA,16,-32,93,34,NA,153,230,-187,"A"
"205",205,21,NA,-46,70,-187,25,NA,-214,-77,-91,10,NA,14,-28,95,34,NA,156,233,-185,"A"
"206",206,21,NA,-46,69,-186,25,NA,-215,-76,-87,10,NA,12,-24,98,34,NA,160,233,-184,"A"
"207",207,21,NA,-47,69,-186,25,NA,-216,-77,-90,10,NA,12,-29,94,34,NA,154,226,-183,"A"
"208",208,21,NA,-47,71,-183,25,NA,-213,-79,-92,10,NA,10,-31,94,33,NA,150,220,-184,"A"
"209",209,21,NA,-48,70,-186,3,NA,-3,-12,23,11,NA,13,-28,102,34,NA,158,225,-181,"A"
"210",210,21,0,-48,71,-186,3,21.0222,-3,-11,24,11,0.6545,17,-30,100,34,0.26768,158,228,-184,"A"
"211",211,21,NA,-47,70,-183,3,NA,-5,-12,21,11,NA,16,-32,99,34,NA,156,229,-183,"A"
"212",212,21,NA,-46,68,-184,3,NA,-5,-12,23,11,NA,13,-32,102,34,NA,153,229,-183,"A"
"213",213,21,NA,-45,70,-183,3,NA,-2,-12,24,11,NA,10,-35,98,34,NA,153,229,-183,"A"
"214",214,21,NA,-45,68,-188,3,NA,-2,-8,24,11,NA,13,-27,101,34,NA,150,232,-184,"A"
"215",215,21,NA,-49,69,-183,2,NA,-1,-10,22,11,NA,11,-25,100,35,NA,157,235,-186,"A"
"216",216,21,NA,-46,70,-184,3,NA,-3,-12,24,10,NA,10,-32,96,34,NA,146,230,-186,"A"
"217",217,21,NA,-46,69,-184,3,NA,-5,-11,24,10,NA,17,-41,92,34,NA,155,229,-186,"A"
"218",218,21,NA,-46,69,-185,3,NA,-5,-8,24,10,NA,23,-23,93,33,NA,165,211,-178,"A"
"219",219,21,NA,-44,73,-182,3,NA,-5,-11,24,10,NA,9,-23,90,33,NA,160,217,-177,"A"
"220",220,21,NA,-46,68,-185,3,NA,-5,-12,25,10,NA,7,-30,93,34,NA,165,233,-177,"A"
"221",221,21,NA,-47,70,-185,3,NA,-4,-12,25,10,NA,9,-30,94,34,NA,157,236,-181,"A"
"222",222,21,NA,-47,72,-183,3,NA,-6,-11,25,10,NA,14,-34,93,34,NA,144,235,-188,"A"
"223",223,21,NA,-46,70,-185,4,NA,-8,-12,35,10,NA,21,-29,93,34,NA,153,231,-192,"A"
"224",224,21,NA,-48,69,-184,4,NA,-8,-10,34,10,NA,15,-31,96,33,NA,163,216,-184,"A"
"225",225,20,NA,-45,69,-183,4,NA,5,-9,35,10,NA,13,-23,94,33,NA,166,219,-179,"A"
"226",226,21,NA,-45,70,-184,3,NA,8,-10,31,10,NA,6,-30,96,34,NA,170,226,-180,"A"
"227",227,21,NA,-45,70,-185,3,NA,6,-10,28,10,NA,8,-34,88,34,NA,167,229,-180,"A"
"228",228,21,NA,-46,70,-184,3,NA,2,-10,28,10,NA,7,-34,96,34,NA,161,230,-179,"A"
"229",229,21,NA,-46,69,-185,3,NA,2,-10,29,11,NA,12,-31,99,33,NA,155,229,-176,"A"
"230",230,21,NA,-45,67,-184,3,NA,-1,-11,28,10,NA,13,-28,97,32,NA,159,216,-170,"A"
